quarter_end,earnings_yield,ev_ebitda,pb_ratio,dividend_yield,roic,roe,ebitda_margin,evs,beta,volatility,debt_to_equity,current_ratio
2023-06-30,-0.02462140284382127,7767.43425,1.02236,40.42885,,-0.02517184599804986,,,1.2194854826798012,0.41866127996944347,0.7504411989867869,0.9024861641567556
2023-09-30,-0.004873845148484373,17.81943,1.1522,15.13418,,-0.005615628790420398,,,1.1772801792211607,0.3909188648704719,0.7882809878964618,0.9530312930627349
2023-12-31,0.20502264475111276,2.95752,1.25537,14.00486,,0.2573782497253753,,,0.9972906115643952,0.32315345374177007,0.7926505204791546,0.9582194622029183
2024-03-31,0.04944727832290655,7.9361,1.17467,16.74936,,0.05808422090056157,,,0.9567539426946072,0.308499498139563,0.7536921658266694,1.0785567599885622
2024-06-30,-0.05367885337674879,83.4467,1.30416,20.12444,,-0.0700058504414424,,,0.8392594298213608,0.2848233578215795,0.8814833528348048,0.8951408086665318
2024-09-30,0.07582254189005884,15.75435,1.17484,18.90311,,0.08907918684328432,,,0.7178492503876848,0.2740800918853844,0.815477923215366,0.9353888628082176
2024-12-31,0.009289582866144728,4.31006,1.26919,21.45502,,0.011790027046588701,,,0.7555114034243695,0.25090365859771513,1.0161980223882627,0.6940782719395507
2025-03-31,0.07376829084771569,7.72293,1.20458,17.15872,,0.08885999351111536,,,0.6443784444862363,0.22047017327094873,0.9313662120255631,0.7182559771728375
2025-06-30,-0.021157107603356703,48.26354,1.00664,16.98904,,-0.021297619106878853,,,0.7802953095091363,0.23715759659831145,0.924473968470464,0.7582263645496149
2025-09-30,0.014977432005454181,11.40397,0.95416,16.51968,,0.01429072314871247,,,0.7378527579277706,0.22901622714384423,0.8849823866190074,0.8190133083288095
