quarter_end,pe_ratio,pb_ratio,roe,roa,ev_ebitda,dividend_yield,revenue,ebitda,net_income,total_debt,equity,total_assets,current_assets,current_liabilities,inventory,current_ratio,quick_ratio,debt_to_equity,net_margin,asset_turnover,tax_provision,pre_tax_income
2018-03-31,38.7294,0.9935,0.02565228818410602,0.008645239415496879,9.39141,,74461000000,,7125000000,340979000000.0,277753000000.0,824153000000.0,145412000000.0,78116000000.0,29361000000.0,1.8614880434226022,1.4856239438783347,1.227633904944321,0.09568767542740494,0.09034851538488606,-3955000000,11080000000
2018-06-30,86.34286,0.77077,0.008926831983523977,0.003017822322476543,23.04768,,9934000000,,2566000000,353623000000.0,287448000000.0,850282000000.0,144255000000.0,84649000000.0,35534000000.0,1.704154803955156,1.284374298574112,1.2302155520302802,0.2583048117576002,0.01168318275583865,-4638000000,3249000000
2018-09-30,-97.53052,0.91778,-0.009409977209420106,-0.0032154377933351487,23.19708,0.23708,13865000000,,-2787000000,352801000000.0,296175000000.0,866756000000.0,150201000000.0,94072000000.0,38865000000.0,1.5966600051024746,1.1835190067182584,1.1911910188233308,-0.20100973674720518,0.015996428060492226,-5249000000,-2176000000
2018-12-31,14.76793,1.03094,0.06980951742769174,0.02300362707487626,5.05668,0.22046,251576000000,,19794000000,326876000000.0,283543000000.0,860473000000.0,143606000000.0,97068000000.0,34822000000.0,1.4794370956442906,1.1206988914987432,1.152826908088015,0.07868000127198142,0.29236942937198496,-3236000000,31623000000
2019-03-31,85.29653,1.25128,0.0146697067096609,0.0044674513506138,12.06773,0.17819,79999000000,,4240000000,413078000000.0,289031000000.0,949087000000.0,130605000000.0,113539000000.0,32962000000.0,1.1503095852526444,0.8599952439249949,1.4291823368427607,0.05300066250828135,0.08429048127305505,-2128000000,6368000000
2019-06-30,23.3774,1.14176,0.04884008040902598,0.015656080095478052,8.72146,2.80569,-7432000000,,15112000000,387162000000.0,309418000000.0,965248000000.0,181333000000.0,138346000000.0,34238000000.0,1.3107209460338571,1.0632399924826161,1.251258814936429,-2.0333692142088267,-0.007699575653096406,-11327000000,24293000000
2019-09-30,-33.77881,1.14635,-0.0339367173199291,-0.011370901007609806,-40.37805,2.97292,4484000000,,-10512000000,374381000000.0,309753000000.0,924465000000.0,147601000000.0,133660000000.0,31583000000.0,1.1043019601975161,0.8680083794702977,1.208643661239762,-2.344335414808207,0.0048503729183906365,-3938000000,-27232000000
2019-12-31,12.10648,1.30035,0.10740897983198334,0.03469721202015959,4.67319,2.71385,225194000000,,32130000000,351161000000.0,299137000000.0,926011000000.0,112101000000.0,116147000000.0,33009000000.0,0.9651648342187056,0.6809646396377005,1.1739136248608497,0.1426769807366093,0.24318717596227257,993000000,43813000000
2020-03-31,-3.62629,0.76754,-0.211659040119187,-0.051175069083873224,-6.35533,10.2862,75469000000,,-49724000000,463916000000.0,234925000000.0,971645000000.0,163562000000.0,134837000000.0,31236000000.0,1.2130349978121733,0.9813775150737557,1.9747408747472597,-0.6588665544793226,0.07767137174585369,16894000000,-66618000000
2020-06-30,-98.73998,1.13036,-0.011447942992255444,-0.0027710408987117073,11.12032,3.34107,-24571000000,,-2813000000,499555000000.0,245721000000.0,1015142000000.0,201926000000.0,144169000000.0,27594000000.0,1.4006201055705456,1.2092197351719163,2.0330171210437853,0.11448455496316796,-0.024204495528704358,-16419000000,-3288000000
2020-09-30,-151.44027,1.00953,-0.0066663737562959085,-0.0017287633489740323,7.21519,3.16165,19832000000,,-1669000000,448929000000.0,250361000000.0,965430000000.0,151644000000.0,140706000000.0,29790000000.0,1.0777365570764572,0.8660185066734895,1.793126725009087,-0.08415691811214199,0.020542141843530863,2734000000,-4878000000
2020-12-31,6.04226,1.17392,0.19428571428571428,0.06122223696323445,4.49089,2.18931,201339000000,,60452000000,392548000000.0,311150000000.0,987419000000.0,142323000000.0,136287000000.0,29500000000.0,1.0442888903563803,0.8278339093237066,1.2616037281054153,0.30024982740552003,0.20390432025310432,3000000000,74821000000
2021-03-31,243.43434,0.96994,0.00398444940592359,0.0012781946602316177,6.12551,0.00187,86174000000,,1276000000,404316000000.0,320245000000.0,998283000000.0,153972000000.0,124469000000.0,39730000000.0,1.2370309072941856,0.9178349629224948,1.2625208824493748,0.014807250446770488,0.08632221524357321,-1880000000,3156000000
